36	s2_u1	1	7.38	0.06	e5
36	s2_u1	1	5.77	0.02	e5
36	s2_u1	1	12.63	0.03	e5
40	s2_u1	1	4.32	0.07	ei3
44	s2_u1	1	13.88	0.04	en2
44	s2_u1	1	15.14	0.05	en2
44	s2_u1	1	7.65	0.03	en2
44	s2_u1	1	10.2	0.07	en2
44	s2_u1	1	11.16	0.02	en2
44	s2_u1	1	4.5	0.1	en2
49	s2_u1	1	9.14	0.11	eng2
49	s2_u1	1	2.66	0.04	eng2
51	s2_u1	1	9.49	0.05	eng4
51	s2_u1	1	17.3	0.07	eng4
51	s2_u1	1	11.47	0.04	eng4
57	s2_u1	1	18.57	0.03	f
58	s2_u1	1	13.79	0.03	g
58	s2_u1	1	6	0.04	g
58	s2_u1	1	4.29	0.03	g
58	s2_u1	1	5.86	0.03	g
58	s2_u1	1	0.27	0.04	g
58	s2_u1	1	12.74	0.03	g
58	s2_u1	1	7.55	0.03	g
58	s2_u1	1	11.45	0.02	g
58	s2_u1	1	10	0.02	g
58	s2_u1	1	4.23	0.03	g
58	s2_u1	1	9.46	0.03	g
58	s2_u1	1	11.1	0.02	g
58	s2_u1	1	10.64	0.02	g
58	s2_u1	1	8.56	0.03	g
58	s2_u1	1	17.27	0.03	g
58	s2_u1	1	0.43	0.03	g
58	s2_u1	1	3.72	0.02	g
58	s2_u1	1	4.72	0.02	g
59	s2_u1	1	9.03	0.02	h
59	s2_u1	1	11.78	0.02	h
59	s2_u1	1	8.44	0.06	h
59	s2_u1	1	18.85	0.03	h
59	s2_u1	1	19.27	0.04	h
59	s2_u1	1	16.96	0.05	h
59	s2_u1	1	0.62	0.04	h
59	s2_u1	1	8.9	0.03	h
59	s2_u1	1	9.81	0.03	h
59	s2_u1	1	15.55	0.04	h
60	s2_u1	1	3.01	0.06	i1
60	s2_u1	1	14.75	0.08	i1
61	s2_u1	1	15.23	0.03	i2
61	s2_u1	1	10.63	0.01	i2
61	s2_u1	1	11.55	0.12	i2
61	s2_u1	1	4.07	0.03	i2
62	s2_u1	1	10.41	0.05	i3
62	s2_u1	1	1.7	0.07	i3
62	s2_u1	1	5.55	0.05	i3
62	s2_u1	1	11.77	0.01	i3
62	s2_u1	1	3.8	0.05	i3
62	s2_u1	1	10.73	0.06	i3
62	s2_u1	1	9.8	0.01	i3
62	s2_u1	1	11.85	0.03	i3
62	s2_u1	1	11.29	0.04	i3
62	s2_u1	1	11.97	0.04	i3
62	s2_u1	1	6.69	0.03	i3
62	s2_u1	1	18.28	0.02	i3
62	s2_u1	1	0.08	0.05	i3
62	s2_u1	1	8.89	0.01	i3
62	s2_u1	1	9	0.03	i3
63	s2_u1	1	19.1	0.01	i4
63	s2_u1	1	3.32	0.03	i4
63	s2_u1	1	6.43	0.03	i4
63	s2_u1	1	18.67	0.04	i4
63	s2_u1	1	4.7	0.02	i4
64	s2_u1	1	16.7	0.11	i5
64	s2_u1	1	17.9	0.08	i5
65	s2_u1	1	17.42	0.1	ia1
70	s2_u1	1	0.78	0.03	ian1
73	s2_u1	1	5.24	0.03	ian4
82	s2_u1	1	4.93	0.06	iao3
82	s2_u1	1	5.18	0.03	iao3
83	s2_u1	1	0.96	0.03	iao4
83	s2_u1	1	17.65	0.04	iao4
83	s2_u1	1	14.64	0.05	iao4
83	s2_u1	1	15.36	0.11	iao4
83	s2_u1	1	1.16	0.11	iao4
83	s2_u1	1	2.28	0.08	iao4
86	s2_u1	1	4.42	0.04	ie2
87	s2_u1	1	2.52	0.04	ie3
90	s2_u1	1	15.19	0.04	ii
90	s2_u1	1	18.71	0.01	ii
90	s2_u1	1	15.64	0.05	ii
90	s2_u1	1	8.85	0.04	ii
90	s2_u1	1	14.61	0.03	ii
90	s2_u1	1	11.76	0.01	ii
90	s2_u1	1	2.97	0.04	ii
90	s2_u1	1	14.7	0.05	ii
90	s2_u1	1	7.96	0.04	ii
90	s2_u1	1	10.6	0.03	ii
90	s2_u1	1	11.94	0.03	ii
90	s2_u1	1	19.06	0.04	ii
90	s2_u1	1	3.29	0.03	ii
90	s2_u1	1	15.96	0.03	ii
90	s2_u1	1	15.85	0.06	ii
90	s2_u1	1	2.47	0.05	ii
90	s2_u1	1	0.94	0.02	ii
90	s2_u1	1	17.62	0.03	ii
90	s2_u1	1	0.13	0.03	ii
90	s2_u1	1	1.34	0.04	ii
90	s2_u1	1	15.33	0.03	ii
90	s2_u1	1	18.24	0.04	ii
91	s2_u1	1	1.38	0.01	in1
97	s2_u1	1	0.38	0.05	ing2
97	s2_u1	1	5.95	0.05	ing2
97	s2_u1	1	8.17	0.14	ing2
99	s2_u1	1	15.29	0.04	ing4
101	s2_u1	1	15.91	0.05	iong1
104	s2_u1	1	15.69	0.05	iong4
106	s2_u1	1	8	0.05	iu1
108	s2_u1	1	0.16	0.04	iu3
108	s2_u1	1	18.72	0.04	iu3
108	s2_u1	1	15.99	0.11	iu3
109	s2_u1	1	0.23	0.04	iu4
109	s2_u1	1	12.18	0.08	iu4
111	s2_u1	1	1.1	0.04	ix1
111	s2_u1	1	2.22	0.03	ix1
111	s2_u1	1	2.76	0.11	ix1
111	s2_u1	1	3.22	0.02	ix1
112	s2_u1	1	6.36	0.04	ix2
112	s2_u1	1	18.82	0.03	ix2
112	s2_u1	1	0.59	0.03	ix2
113	s2_u1	1	2.6	0.03	ix3
114	s2_u1	1	19.03	0.03	ix4
114	s2_u1	1	19.24	0.03	ix4
114	s2_u1	1	5.07	0.05	ix4
114	s2_u1	1	11.75	0.01	ix4
119	s2_u1	1	10.82	0.07	iy4
123	s2_u1	1	10.7	0.03	j
123	s2_u1	1	6.4	0.03	j
123	s2_u1	1	17.37	0.05	j
124	s2_u1	1	5.37	0.04	k
124	s2_u1	1	11.88	0.02	k
124	s2_u1	1	8.32	0.04	k
125	s2_u1	1	10.38	0.03	l
125	s2_u1	1	7.34	0.04	l
125	s2_u1	1	12.15	0.03	l
125	s2_u1	1	5.74	0.03	l
125	s2_u1	1	11.27	0.02	l
125	s2_u1	1	0.2	0.03	l
126	s2_u1	1	5.21	0.03	m
127	s2_u1	1	5.52	0.03	n
127	s2_u1	1	3.77	0.03	n
127	s2_u1	1	6.66	0.03	n
127	s2_u1	1	9.76	0.04	n
127	s2_u1	1	2.63	0.03	n
127	s2_u1	1	11.83	0.02	n
127	s2_u1	1	11.03	0.04	n
127	s2_u1	1	8.97	0.03	n
127	s2_u1	1	0.05	0.03	n
127	s2_u1	1	9.11	0.03	n
127	s2_u1	1	1.66	0.04	n
133	s2_u1	1	16.58	0.04	ong1
133	s2_u1	1	17.81	0.03	ong1
133	s2_u1	1	4.86	0.04	ong1
134	s2_u1	1	12.56	0.04	ong2
134	s2_u1	1	9.9	0.04	ong2
135	s2_u1	1	3.37	0.04	ong3
135	s2_u1	1	19.14	0.05	ong3
135	s2_u1	1	12.38	0.08	ong3
136	s2_u1	1	17.59	0.03	ong4
139	s2_u1	1	1.02	0.04	ou1
140	s2_u1	1	11.22	0.05	ou2
141	s2_u1	1	10.32	0.06	ou3
142	s2_u1	1	8.93	0.04	ou4
142	s2_u1	1	18.88	0.08	ou4
142	s2_u1	1	11.8	0.03	ou4
143	s2_u1	1	0.66	0.08	ou5
144	s2_u1	1	0.34	0.04	p
144	s2_u1	1	5.92	0.03	p
145	s2_u1	1	1.79	0.07	q
145	s2_u1	1	0.74	0.04	q
145	s2_u1	1	8.05	0.12	q
145	s2_u1	1	17.1	0.08	q
145	s2_u1	1	7.09	0.04	q
145	s2_u1	1	16.87	0.06	q
145	s2_u1	1	6.72	0.06	q
145	s2_u1	1	4.01	0.06	q
145	s2_u1	1	4.65	0.05	q
145	s2_u1	1	18.63	0.04	q
146	s2_u1	1	3.66	0.04	r
146	s2_u1	1	13.86	0.02	r
146	s2_u1	1	15.1	0.04	r
146	s2_u1	1	4.46	0.04	r
146	s2_u1	1	11.14	0.02	r
146	s2_u1	1	10.16	0.04	r
146	s2_u1	1	7.61	0.04	r
147	s2_u1	1	18.15	0.06	s
147	s2_u1	1	4.81	0.05	s
148	s2_u1	1	5.61	0.07	sh
148	s2_u1	1	12.66	0.03	sh
148	s2_u1	1	18.96	0.07	sh
